,question,answer,options,meta_info,answer_idx,metamap_phrases,predictions,reasoning
136,"A 61-year-old Caucasian male presents to your office with chest pain. He states that he is worried about his heart, as his father died at age 62 from a heart attack. He reports that his chest pain worsens with large meals and spicy foods and improves with calcium carbonate. He denies dyspnea on exertion and an ECG is normal. What is the most likely cause of this patient's pain?",Gastroesophageal junction incompetence,"{'A': 'Partially occluded coronary artery', 'B': 'Umbilical hernia', 'C': 'Gastroesophageal junction incompetence', 'D': 'Intestinal metaplasia at the gastroesophageal junction'}",step1,C,"['61 year old Caucasian male presents' 'office' 'chest pain' 'states'
 'worried' 'heart' 'father died' 'age 62' 'heart attack' 'reports'
 'chest pain worsens' 'large meals' 'spicy foods' 'improves'
 'calcium carbonate' 'denies dyspnea on exertion' 'ECG' 'normal'
 'most likely cause' ""patient's pain""]",C,"', step_by_step=\""1. The patient is a 61-year-old male with chest pain that worsens with large meals and spicy foods. This suggests a connection to food intake and possibly digestive issues rather than cardiac issues.\\n2. The fact that his pain improves with calcium carbonate indicates that it could be related to acid or gastrointestinal issues, as calcium carbonate is an antacid.\\n3. The normal ECG further supports that the pain is not likely due to a cardiac cause, such as a partially occluded coronary artery.\\n4. Given these details, the most likely cause of the patient's pain is gastroesophageal junction incompetence, which can lead to symptoms similar to gastroesophageal reflux disease (GERD"
137,"A 36-year-old woman comes to the clinic because of tearing and a foreign body sensation in her eyes bilaterally, which has gradually worsened over the last several weeks. She also notes having occasional palpitations, nervousness, sweating, and heat intolerance. Her past medical history is unremarkable. She reports a 20-pack-year smoking history and is currently a daily smoker. Physical examination shows an anxious, trembling woman. She has eyelid retraction bilaterally, with an inability to fully close her eyes. Her extraocular motility is limited on upgaze. There is no thyromegaly, and no thyroid nodules are noted. Laboratory studies reveal a thyroid-stimulating hormone level of 0.1 μU/mL and total T4 of 42 μg/dL. Thyroid-stimulating immunoglobulin is positive. CT scan of the orbits shows proptosis and marked enlargement of the extraocular muscle with sparing of the tendons. Which of the following would most likely transiently worsen this patient’s eye symptoms?",Treatment with radioactive iodine,"{'A': 'External orbital radiation', 'B': 'Selenium supplementation', 'C': 'Systemic corticosteroids', 'D': 'Treatment with radioactive iodine'}",step1,D,"['36 year old woman' 'clinic' 'tearing' 'foreign body sensation in' 'eyes'
 'worsened' 'weeks' 'notes' 'occasional palpitations' 'nervousness'
 'sweating' 'heat intolerance' 'past medical history' 'unremarkable'
 'reports' '20 smoking history' 'currently' 'daily smoker'
 'Physical examination shows' 'anxious' 'trembling woman'
 'eyelid retraction' 'close' 'eyes' 'extraocular motility' 'limited'
 'thyromegaly' 'thyroid nodules' 'noted' 'Laboratory studies reveal'
 'thyroid-stimulating hormone level' '0.1 U/mL' 'total T4' 'g/dL'
 'Thyroid-stimulating immunoglobulin' 'positive' 'CT scan of'
 'orbits shows proptosis' 'marked enlargement' 'extraocular' 'tendons'
 'following' 'most likely' 'worsen' 'patients eye']",D,"', step_by_step=\""1. The patient presents with symptoms consistent with Graves' disease, including hyperthyroidism (indicated by low TSH and high T4"
138,"A 7-year-old boy is brought to a pediatrician by his parents for evaluation of frequent bed wetting during the night. A detailed history reveals that there has been no history of urinary incontinence during the day since the boy was 4 years of age, but that he has never been dry at night continuously for 1 week. There is no history of urinary tract infections, urgency, frequency, or hesitancy. On physical examination, the boy’s vital signs are stable. His neurologic and abdominal examinations are completely normal. His laboratory investigations are as follows:
Urine-specific gravity (first-morning sample) 1.035
Urine red blood cells Absent
Urine pus cells Absent
Urine culture Negative
Which of the following is the next step in the management of this patient?",Reassuring the parents and use of an enuresis alarm,"{'A': 'Magnetic resonance imaging (MRI) of the spine', 'B': 'Reassuring the parents and use of an enuresis alarm', 'C': 'Treatment with oral oxybutynin', 'D': 'Treatment with oral imipramine'}",step2&3,B,"['year old boy' 'brought' 'pediatrician' 'parents' 'evaluation'
 'frequent bed wetting' 'night' 'detailed history reveals'
 'history of urinary incontinence' 'day' 'boy' '4 years' 'age' 'never'
 'dry' 'night' '1 week' 'history of urinary tract infections' 'urgency'
 'frequency' 'hesitancy' 'physical examination' 'boys vital signs'
 'stable' 'neurologic' 'abdominal examinations' 'completely normal'
 'laboratory investigations' 'follows' 'Urine-specific gravity'
 'first morning sample' '1' 'Urine red blood cells Absent' 'Negative'
 'following' 'next step' 'management' 'patient']",B,"', step_by_step='1. The boy is 7 years old and has a history of bedwetting (enuresis"
139,"A 52-year-old man with a history of gastric cancer that was treated with subtotal gastrectomy dies in a motor vehicle collision. At autopsy, examination of the spinal cord shows unilateral atrophy of the neurons in the area indicated by the arrow. Neurological examination of the patient when he was still alive would most likely have shown which of the following findings?",Decreased positional sense in the ipsilateral leg,"{'A': 'Decreased sense of temperature in the ipsilateral arm', 'B': 'Decreased strength of the contralateral leg', 'C': 'Decreased vibratory sense in the ipsilateral arm', 'D': 'Decreased positional sense in the ipsilateral leg'}",step1,D,"['year old man' 'history of gastric cancer'
 'treated with subtotal gastrectomy' 'motor vehicle collision' 'autopsy'
 'examination' 'spinal cord shows unilateral atrophy' 'neurons'
 'area indicated' 'arrow' 'Neurological examination of' 'patient' 'alive'
 'most likely' 'shown' 'following findings']",D,"', step_by_step='The scenario describes a patient with unilateral atrophy of neurons in the spinal cord, which suggests damage to the motor neurons that would affect muscle strength. Given that the question asks for neurological findings, we need to consider the pathways affected by unilateral spinal cord damage. \\n\\n1. **Unilateral Atrophy**: The atrophy of neurons indicates a loss of motor neurons, which could lead to muscle weakness or paralysis on the same side (ipsilateral"
140,"A 24-year-old pregnant woman at 28 weeks gestation presents to the emergency department with complaints of fever with chills and pain in her knee and ankle joints for the past 2 days. She also complains of headaches and difficulty moving her neck. Further questioning reveals that she had a tick bite on her arm while gardening a few days ago. Past medical history is noncontributory. She takes a multivitamin with iron and folate every day and has been receiving regular prenatal care and the pregnancy is progressing normally. On examination, an erythematous rash is seen on her right arm, as shown in the accompanying photograph. Her obstetric examination is normal. Ultrasound of the fetus is reassuring with a normal heartbeat and no gross abnormalities. A specimen is collected to test for Lyme disease. What is the next best step for this patient?",Amoxicilin,"{'A': 'Ibuprofen', 'B': 'Tetracycline', 'C': 'Amoxicilin', 'D': 'Gentamicin'}",step1,C,"['year old pregnant woman' 'weeks presents' 'emergency department'
 'complaints' 'fever' 'chills' 'pain in' 'knee' 'ankle joints'
 'past 2 days' 'headaches' 'difficulty moving' 'neck'
 'Further questioning reveals' 'tick bite' 'arm' 'gardening' 'few days'
 'Past medical history' 'takes' 'multivitamin with iron' 'folate' 'day'
 'receiving regular prenatal care' 'pregnancy' 'progressing' 'examination'
 'erythematous rash' 'seen' 'right arm' 'shown' 'photograph'
 'obstetric examination' 'normal' 'Ultrasound' 'fetus' 'reassuring'
 'normal heartbeat' 'gross abnormalities' 'specimen' 'collected to test'
 'Lyme disease' 'next best step' 'patient']",C,"', step_by_step='1. The patient is a 24-year-old pregnant woman at 28 weeks gestation who presents with symptoms consistent with Lyme disease, including fever, joint pain, and a rash following a tick bite.  \\n2. Lyme disease is caused by the bacterium Borrelia burgdorferi, which is transmitted through tick bites.  \\n3. In pregnant women, the treatment for Lyme disease is important to avoid complications for both the mother and the fetus.  \\n4. The first-line treatment for Lyme disease in pregnant women is amoxicillin, as it is safe during pregnancy.  \\n5. Tetracycline is contraindicated in pregnancy due to its effects on fetal development, particularly on teeth and bones.  \\n6. Ibuprofen is not a treatment for Lyme disease; it may help with symptomatic relief but does not address the underlying infection.  \\n7. Gentamicin is not indicated for Lyme disease and is also not the first-line treatment.  \\n8. Given this information, the next best step for this patient is to prescribe amoxicillin.'"
141,"A 25-year-old woman presents to her physician with a four month history of fatigue and weakness. The weakness has been progressive to the point where she cannot climb stairs and stand from a sitting position. She has only had one menstrual period in the last four months and has never been pregnant. She smokes a pack of cigarettes every day and does not take any medications. Her temperature is 98°F (36.7°C), blood pressure is 160/100 mmHg, pulse is 70/min, and respirations are 15/min. She is obese with a significant pannus. Abdominal striae are present. Her laboratory workup is notable for the following:

Serum:
Na+: 142 mEq/L
Cl-: 102 mEq/L
K+: 3.9 mEq/L
HCO3-: 25 mEq/L
BUN: 20 mg/dL
Glucose: 314 mg/dL
Creatinine: 1.1 mg/dL
Ca2+: 10.1 mg/dL
AST: 9 U/L
ALT: 8 U/L
24-hour urinary cortisol: 470 µg (< 300 µg)
Serum cortisol 30 µg/mL (5-23 µg/dL)
Serum adrenocorticotropin-releasing hormone (ACTH) 2 pg/mL (> 5 pg/mL)

A 48-hour high dose dexamethasone suppression trial shows that her serum cortisol levels do not decrease. What is the best next step in management?",MRI of the adrenal glands,"{'A': 'MRI of the adrenal glands', 'B': 'MRI of the chest', 'C': 'Low dose dexamethasone suppression test', 'D': 'Inferior petrosal sinus sampling'}",step2&3,A,"['year old woman presents' 'physician' 'four month history' 'fatigue'
 'weakness' 'weakness' 'progressive' 'point' 'climb stairs' 'stand'
 'sitting position' 'only' 'one menstrual period' 'four months' 'never'
 'pregnant' 'smokes' 'pack' 'cigarettes' 'day' 'not take' 'medications'
 'temperature' '36' 'blood pressure' '100 mmHg' 'pulse' '70 min'
 'respirations' 'min' 'obese' 'significant pannus' 'Abdominal striae'
 'present' 'laboratory workup' 'notable' 'following' 'Serum' 'Na'
 'mEq/L Cl' 'mEq/L K' '3.9 mEq/L HCO3' 'mEq/L' '20 mg/dL Glucose'
 'mg/dL Creatinine' '1.1 mg/dL Ca2' '10' 'mg/dL AST' 'U/L ALT' '8 U/L'
 'hour urinary cortisol' 'g' '300 g' 'Serum cortisol 30' 'mL' '5 23 g/dL'
 'Serum adrenocorticotropin-releasing hormone' 'pg/mL' '5 pg/mL'
 '48-hour high dose dexamethasone suppression trial shows'
 'serum cortisol levels' 'not decrease' 'best next step' 'management']",D,"', step_by_step=\""1. The patient's presentation is suggestive of Cushing's syndrome, characterized by fatigue, weakness, obesity, hypertension, and elevated cortisol levels. \\n2. The high dose dexamethasone suppression test indicates that her cortisol levels do not decrease, which suggests that the source of excess cortisol is likely not pituitary (Cushing's disease"
142,A 67-year-woman with non-Hodgkin lymphoma comes to the physician because of progressively increasing numbness and tingling in her fingers and toes. Her last cycle of chemotherapy with vincristine was 1 week ago. Physical examination shows decreased sensation to light touch in all distal extremities. Knee and ankle deep tendon reflexes are decreased. Which of the following is the most likely underlying mechanism of this patient’s peripheral neuropathy?,Inhibition of beta-tubulin polymerization,"{'A': 'Inhibition of beta-tubulin polymerization', 'B': 'Creation of free radicals that unwind DNA', 'C': 'Inhibition of dihydrofolate reductase', 'D': 'Incorporation of false pyrimidine analogues into DNA'}",step1,A,"['67 year woman' 'non-Hodgkin lymphoma' 'physician' 'increasing numbness'
 'tingling in' 'fingers' 'toes' 'last cycle' 'chemotherapy' 'vincristine'
 '1 week' 'Physical examination shows decreased' 'light'
 'distal extremities' 'Knee' 'ankle deep tendon reflexes' 'decreased'
 'following' 'most likely underlying mechanism'
 'patients peripheral neuropathy']",A,"', step_by_step=\""1. The patient has non-Hodgkin lymphoma and is receiving chemotherapy with vincristine, which is known to cause peripheral neuropathy as a side effect. \\n2. Vincristine is a vinca alkaloid that works by inhibiting microtubule formation, specifically by binding to beta-tubulin. This prevents the polymerization of tubulin into microtubules, which is essential for cell division and function. \\n3. The symptoms of numbness and tingling in fingers and toes, along with decreased deep tendon reflexes, suggest a peripheral neuropathy, which is a common side effect of vincristine due to its mechanism of action. \\n4. The other options provided (B, C, D"
143,A 68-year-old man comes to the physician with a 1-week history of painless hematuria. A CT scan of the urinary tract shows areas of bladder wall thickening. Cystoscopy shows several sessile masses with central necrosis arising from the bladder wall. A biopsy specimen of the bladder masses shows moderately differentiated urothelial cells with abundant mitotic figures and nuclear atypia. The patient most likely has a history of exposure to which of the following?,Aromatic amines,"{'A': 'Ionizing radiation', 'B': 'Aromatic amines', 'C': 'Aflatoxins', 'D': 'Radon'}",step1,B,"['68 year old man' 'physician' '1-week history of painless hematuria'
 'CT scan of' 'urinary tract shows areas of bladder wall thickening'
 'Cystoscopy shows several sessile masses' 'central necrosis arising'
 'bladder wall' 'biopsy specimen of'
 'bladder masses shows moderately differentiated urothelial cells'
 'abundant mitotic figures' 'nuclear atypia' 'patient' 'likely' 'history'
 'exposure' 'following']",B,"', step_by_step=\""The patient's presentation includes painless hematuria, bladder wall thickening, and the presence of sessile masses with central necrosis, which are indicative of bladder cancer. The biopsy shows moderately differentiated urothelial cells with abundant mitotic figures and nuclear atypia, further confirming the diagnosis of bladder cancer. Among the listed options, exposure to aromatic amines is a well-known risk factor for bladder cancer. Aromatic amines, such as those found in certain industrial chemicals, have been linked to the development of transitional cell carcinoma of the bladder. Ionizing radiation is more associated with other types of cancer, aflatoxins are linked to liver cancer, and radon exposure is primarily associated with lung cancer. Therefore, the most likely history of exposure for this patient is to aromatic amines.\"""
144,"A 14-year-old girl comes to the physician with her father for evaluation of her short stature. She feels well overall, but is concerned because all of her friends are taller than her. Her birth weight was normal. Her father reports he had a short stature during his teenage years; he is currently 177 cm (5 ft 10 in) tall. She is at the 2ndpercentile for height and 35th percentile for weight. Breast development is Tanner stage 2. Pubic and axillary hair is absent. An x-ray of the left hand and wrist shows a bone age of 11 years. Which of the following is the most appropriate next best step in management?",Reassurance and follow-up,"{'A': 'Pelvic ultrasound', 'B': 'Measure serum dehydroepiandrosterone levels', 'C': 'Reassurance and follow-up', 'D': 'MRI of the brain'}",step2&3,C,"['year old girl' 'physician' 'father' 'evaluation' 'short stature'
 'feels well overall' 'concerned' 'friends' 'birth weight' 'normal'
 'father reports' 'short stature' 'teenage years' 'currently' '5 ft 10'
 'tall' 'height' 'percentile' 'weight' 'Breast development'
 'Tanner stage 2' 'Pubic' 'axillary hair' 'absent' 'x-ray' 'left hand'
 'wrist shows' 'bone' 'years' 'following'
 'most appropriate next best step' 'management']",C,"', step_by_step=\""1. The patient is a 14-year-old girl who is significantly shorter than her peers, with a height at the 2nd percentile and a bone age of 11 years. This suggests a delay in skeletal maturation. \\n\\n2. The presence of Tanner stage 2 breast development indicates that she is in the early stages of puberty, but the absence of pubic and axillary hair suggests that she is not progressing through puberty as expected. \\n\\n3. The girl's father had a history of short stature during his teenage years, which may suggest a familial pattern of growth. \\n\\n4. Given her age and the fact that she is still in Tanner stage 2, it is possible that she may still experience a growth spurt if she enters puberty properly. \\n\\n5. The most appropriate next step in management for a girl with short stature and delayed puberty, particularly in the absence of concerning features (such as significant medical history or abnormal findings on physical examination"
145,"A 5-year-old boy is brought to the physician because of facial swelling that started 5 days ago. Two weeks ago, he had a sore throat that resolved spontaneously. His temperature is 37°C (98.6°F), pulse is 107/min, and blood pressure is 94/67 mm Hg. Examination shows pitting edema of the upper and lower extremities as well as periorbital edema. The abdomen is mildly distended. Laboratory studies show:
Hemoglobin 13.1 g/dL
Serum
Albumin 2.1 g/dL
Total cholesterol 270 mg/dL
Triglycerides 175 mg/dL
Urine
Blood negative
Glucose negative
Protein 4+
Leukocyte esterase negative
A renal biopsy of this patient is most likely to show which of the following findings?""",Normal light microscopy findings,"{'A': 'Mesangial proliferation on light microscopy', 'B': 'Subepithelial dense deposits on electron microscopy', 'C': 'Deposits of IgG and C3 at the glomerular basement membrane on immunofluoresence', 'D': 'Normal light microscopy findings'}",step2&3,D,"['5 year old boy' 'brought' 'physician' 'facial swelling' 'started 5 days'
 'Two weeks' 'sore throat' 'resolved' 'temperature' '98' 'pulse' 'min'
 'blood pressure' '67 mm Hg' 'Examination shows pitting edema' 'upper'
 'lower extremities' 'periorbital edema' 'abdomen' 'mildly distended'
 'Laboratory studies show' 'Hemoglobin' 'Serum' 'Triglycerides' 'Urine'
 'negative' 'Leukocyte' 'renal biopsy' 'patient' 'most likely to show'
 'following findings']",B,"', step_by_step='The clinical presentation and laboratory findings of the 5-year-old boy suggest nephrotic syndrome, characterized by facial swelling, pitting edema, and significant proteinuria (4+"
146,"A 60-year-old man is referred to a dermatologist by his family physician for management of a rare case of dermatitis that has not responded to standard therapy with corticosteroids. The patient’s medical history is unremarkable, and he is currently working reduced hours at his job as an accountant. Physical examination reveals confluent scaly patches, plaques, and generalized erythroderma along the torso and lower extremities (see image). There is also a solid skin lesion with a diameter greater than 1 cm. The dermatologist suspects a malignancy and orders a biopsy. Which of the following is the most accurate description of this condition?",Tumor arising from cutaneous T cells,"{'A': 'Vascular tumor containing spindle cells', 'B': 'Tumor arising from the folliculosebaceous–apocrine germ', 'C': 'Tumor arising from cutaneous T cells', 'D': 'Tumor arising from epidermal keratinocytes'}",step2&3,C,"['60 year old man' 'referred' 'dermatologist' 'family physician'
 'management' 'rare case' 'dermatitis' 'not' 'standard therapy'
 'corticosteroids' 'patients medical history' 'unremarkable'
 'currently working reduced hours' 'job' 'accountant'
 'Physical examination reveals confluent scaly patches' 'plaques'
 'generalized erythroderma' 'torso' 'lower extremities' 'see image'
 'solid skin lesion' 'diameter greater than' 'dermatologist suspects'
 'malignancy' 'orders' 'biopsy' 'following' 'most accurate description'
 'condition']",C,"', step_by_step='1. The patient is a 60-year-old man with dermatitis that has not responded to standard corticosteroid therapy, which raises suspicion for an underlying malignancy.\\n2. The physical examination reveals confluent scaly patches, plaques, and generalized erythroderma, which are indicative of a serious skin condition.\\n3. The presence of a solid skin lesion greater than 1 cm also suggests a potential tumor.\\n4. Given the age of the patient and the presentation of the skin condition, the differential diagnosis includes cutaneous T-cell lymphoma (CTCL"
147,"A 35-year-old woman comes to the physician because she has been feeling very stressed over the past several months. During this period, she has found it difficult to relax. She states that her head is full of worries. She works at an accountant's office and reports difficulty in concentrating on her work. She has been working longer shifts because one of her coworkers is on vacation and reports feeling more tired than usual. She is married and frequently fights with her husband. The patient states that in order to deal with her stress, she goes shopping. While shopping, she steals small trivial items and feels immediately relieved thereafter. She discards the objects she steals and has feelings of shame and guilt about her actions. Her husband is concerned about her behavior, but she is unable to stop shoplifting. Her vital signs are within normal limits. On mental status examination, she is oriented to person, place, and time. She reports feeling anxious. Physical examination shows no abnormalities. Which of the following is the most appropriate next step in management?",Cognitive behavioral therapy,"{'A': 'Administration of lithium', 'B': 'Interpersonal therapy', 'C': 'Psychodynamic psychotherapy', 'D': 'Cognitive behavioral therapy'}",step2&3,D,"['35 year old woman' 'physician' 'feeling very stressed' 'past' 'months'
 'period' 'found' 'difficult' 'relax' 'states' 'head' 'full' 'worries'
 'works' ""accountant's office"" 'reports difficulty' 'concentrating' 'work'
 'working longer shifts' 'one' 'coworkers' 'vacation'
 'reports feeling more tired' 'usual' 'married' 'frequently fights'
 'husband' 'patient states' 'order to' 'stress' 'goes shopping' 'shopping'
 'steals small' 'items' 'feels immediately relieved' 'objects' 'steals'
 'feelings' 'shame' 'guilt' 'actions' 'husband' 'concerned' 'behavior'
 'unable to stop shoplifting' 'vital signs' 'normal limits' 'mental'
 'oriented to person' 'place' 'time' 'reports feeling anxious'
 'Physical examination shows' 'abnormalities' 'following'
 'most appropriate next step' 'management']",D,"', step_by_step='1. The patient presents with symptoms of anxiety and stress, along with maladaptive coping mechanisms such as shoplifting, which is indicative of a potential impulse control disorder. \\n2. Cognitive Behavioral Therapy (CBT"
148,"A 65-year-old man presents to his primary care physician for a change in his behavior over the past few months. Initially, the patient was noted to be behaving inappropriately including using foul language and grabbing people unexpectedly. This has progressed to a worsening of his memory and trouble caring for himself. His temperature is 98.1°F (36.7°C), blood pressure is 162/103 mmHg, pulse is 83/min, respirations are 13/min, and oxygen saturation is 98% on room air. Physical exam is notable for an elderly man who laughs inappropriately at times and who is a poor historian. When he is engaged in conversation, he exhibits word finding difficulty and is rather inattentive. Which of the following is the most likely diagnosis?",Frontotemporal dementia,"{'A': 'Alzheimer dementia', 'B': 'Frontotemporal dementia', 'C': 'Kluver-Bucy syndrome', 'D': 'Vascular dementia'}",step2&3,B,"['65 year old man presents' 'primary care physician' 'change in'
 'behavior' 'past' 'months' 'Initially' 'patient' 'noted to'
 'including using' 'language' 'grabbing people' 'progressed' 'worsening'
 'memory' 'caring' 'temperature' '98' '36' 'blood pressure' 'mmHg' 'pulse'
 '83 min' 'respirations' 'min' 'oxygen saturation' '98' 'room air'
 'Physical exam' 'notable' 'elderly man' 'laughs' 'times' 'poor historian'
 'engaged' 'conversation' 'exhibits word finding difficulty'
 'rather inattentive' 'following' 'most likely diagnosis']",B,"', step_by_step=\""1. The patient is a 65-year-old man showing a change in behavior over the past few months, indicating a possible neurocognitive disorder.\\n2. His inappropriate behavior, including using foul language and grabbing people unexpectedly, suggests a change in personality and social conduct, which is characteristic of frontotemporal dementia (FTD"
149,"An 11-month-old boy is brought to the clinic by his mother for a rash on his trunk, which he has had for the past 2 days. She notes that he is eating less and is more cranky than usual. His birth history is insignificant, and his immunizations are up to date. Vital signs include: temperature is 37.8°C (100.0°F), pulse is 98/min, and respiratory rate is 16/min. The rash features thin-walled, fluid-filled blisters that rupture easily. Fluid samples from the lesions are sent for analysis to a microbiology lab. The results reveal an infection by the gram-positive bacterium Staphylococcus aureus. The patient is diagnosed with staphylococcal scalded skin syndrome. Which of the following is involved with the primary defense in response to the bacteria and toxins produced by this organism?",Immunoglobulin- IgM,"{'A': 'Immunoglobulin- IgG', 'B': 'Immunoglobulin- IgD', 'C': 'Immunoglobulin- IgA', 'D': 'Immunoglobulin- IgM'}",step1,D,"['month old boy' 'brought' 'clinic' 'mother' 'rash' 'trunk' 'past 2 days'
 'notes' 'eating less' 'more' 'usual' 'birth history' 'immunizations'
 'date' 'Vital signs include' 'temperature' '100' 'pulse' '98 min'
 'respiratory rate' 'min' 'rash features thin walled'
 'fluid filled blisters' 'rupture easily' 'Fluid samples' 'lesions' 'sent'
 'analysis' 'microbiology lab' 'results reveal' 'infection'
 'gram-positive bacterium Staphylococcus aureus' 'patient' 'diagnosed'
 'staphylococcal scalded skin syndrome' 'following' 'involved'
 'primary defense' 'response to' 'bacteria' 'toxins' 'organism']",A,"', step_by_step=\""1. The patient is diagnosed with staphylococcal scalded skin syndrome (SSSS"
150,"A 52-year-old man is brought to the emergency department with dry cough, shortness of breath, and low-grade fever that began 6 days ago. He also reports that he has had 3 episodes of watery diarrhea per day for the last 2 days. He appears slightly pale. His temperature is 38.0°C (100.4°F), pulse is 65/min, respirations are 15/min, and blood pressure is 140/78 mm Hg. Diffuse crackles are heard over bibasilar lung fields. Laboratory studies show:
Hemoglobin 13.8 g/dL
Leukocyte count 16,000/mm3
Platelet count 150,000/mm3
Serum
Na+ 131 mEq/L
Cl-
102 mEq/L
K+ 4.7 mEq/L
HCO3- 26 mEq/L
Urea nitrogen 18 mg/dL
Creatinine 1.2 mg/dL
An x-ray of the chest shows patchy infiltrates in both lungs. Which of the following is the most appropriate pharmacotherapy?""",Levofloxacin,"{'A': 'Levofloxacin', 'B': 'Trimethoprim/sulfamethoxazole', 'C': 'Amoxicillin', 'D': 'Rifampin'}",step2&3,A,"['year old man' 'brought' 'emergency department' 'dry cough'
 'shortness of breath' 'low-grade fever' 'began 6 days' 'reports'
 '3 episodes of watery diarrhea' 'day' '2 days' 'appears slightly pale'
 'temperature' '100 4F' 'pulse' '65 min' 'respirations' 'min'
 'blood pressure' 'mm Hg' 'Diffuse crackles' 'heard' 'lung fields'
 'Laboratory studies show' '13' 'Leukocyte count' 'mm3 Platelet count' '4'
 'HCO3' 'mg' 'mg' 'x-ray of' 'chest shows patchy infiltrates' 'lungs'
 'following' 'most appropriate pharmacotherapy']",B,"', step_by_step='1. The patient is a 52-year-old man with respiratory symptoms (dry cough, shortness of breath, low-grade fever"
151,"A transvaginal ultrasound shows an intrauterine heteroechoic mass with numerous anechoic spaces and no identifiable fetus or amniotic fluid. Both the ovaries are enlarged and have multiple thin-walled, septated cysts with clear content. Which of the following is the most likely cause of the ovarian findings?",Theca leutein cysts,"{'A': 'Chocolate cysts', 'B': 'Corpus luteum cysts', 'C': 'Yolk sac tumor', 'D': 'Theca leutein cysts'}",step2&3,D,"['transvaginal ultrasound shows' 'intrauterine' 'mass' 'numerous' 'spaces'
 'identifiable fetus' 'amniotic fluid' 'ovaries' 'enlarged'
 'multiple thin walled' 'septated cysts' 'clear content' 'following'
 'most likely cause' 'ovarian findings']",D,"', step_by_step='1. The ultrasound findings indicate an intrauterine heteroechoic mass with numerous anechoic spaces, which suggests a possible abnormality such as a molar pregnancy or a similar condition.\\n2. The presence of enlarged ovaries with multiple thin-walled, septated cysts filled with clear fluid is notable. This presentation is characteristic of theca lutein cysts, which are associated with conditions that lead to elevated levels of human chorionic gonadotropin (hCG"
152,"A 75-year-old woman is brought to the emergency department by her son because of a 2-day history of fever, headache, malaise, and dry cough. The patient lives with her son and his family and her son reports that other members of the family have had similar symptoms during the past week but that he has not had any symptoms. The result of a polymerase chain reaction test confirms that the woman is infected with a virus that has a helical capsid and a segmented genome. Which of the following is the most likely explanation for the son being free of symptoms?",Serum antibodies against hemagglutinin,"{'A': 'Serum antibodies against hemagglutinin', 'B': 'Downregulation of ICAM-1 expression', 'C': 'Protease-resistant antibodies in nasal secretions', 'D': 'Homozygous mutation in the CCR5 gene'}",step1,A,"['75 year old woman' 'brought' 'emergency department' 'son'
 '2-day history' 'fever' 'headache' 'malaise' 'dry cough'
 'patient lives with' 'son' 'family' 'son reports' 'members' 'family'
 'similar symptoms' 'past week' 'not' 'symptoms' 'result'
 'polymerase chain reaction test confirms' 'woman' 'infected' 'virus'
 'helical capsid' 'segmented genome' 'following' 'most likely explanation'
 'son' 'free of symptoms']",A,"', step_by_step=\""1. The patient is a 75-year-old woman with symptoms consistent with a viral infection, confirmed by PCR for a virus with a helical capsid and segmented genome. This description is characteristic of viruses like influenza. \\n2. The son has been exposed to the same environment but remains asymptomatic, suggesting he has some form of immunity or resistance to the virus. \\n3. The options provided suggest different mechanisms of immune response or genetic factors that could explain the son's lack of symptoms. \\n4. Option A refers to serum antibodies against hemagglutinin, which is a protein found on the surface of influenza viruses. If the son had been previously vaccinated or infected with the influenza virus, he could have developed antibodies that prevent infection or mitigate symptoms. \\n5. The other options (B, C, D"
153,"A 71-year-old man comes to the physician for a routine visit. His psychiatric history is significant for major depression with psychotic features. He was diagnosed after his wife died from pancreatic cancer four years earlier. Three years ago, he deliberately overdosed on sleeping pills. Today, he feels well but still wakes up frequently at night and cannot sleep through the night. He lives alone in his apartment and has no children. He does not possess a firearm at home but has access to weapons at a local hunting club. The patient currently denies suicidal thoughts or thoughts of self-harm. He takes sertraline and olanzapine. He does not smoke or drink alcohol. Which of the following is the strongest risk factor for suicide in this patient?",Previous suicide attempt,"{'A': 'Previous suicide attempt', 'B': 'History of psychosis', 'C': 'Sleeping disorder', 'D': 'Age\n""'}",step2&3,A,"['71 year old man' 'physician' 'routine visit' 'psychiatric history'
 'significant' 'major depression' 'psychotic features' 'diagnosed'
 'wife died' 'pancreatic cancer four years earlier' 'Three' 'overdosed'
 'sleeping pills' 'Today' 'feels well' 'wakes up frequently' 'night'
 'sleep' 'night' 'lives alone' 'apartment' 'children' 'not possess'
 'firearm at home' 'access' 'weapons' 'local hunting club'
 'patient currently denies suicidal thoughts' 'thoughts' 'self-harm'
 'takes sertraline' 'olanzapine' 'not smoke' 'drink alcohol' 'following'
 'strongest risk factor' 'suicide' 'patient']",A,"', step_by_step=\""1. Assess the patient's psychiatric history: The patient has a significant history of major depression with psychotic features, which is a risk factor for suicide. \\n2. Consider the previous suicide attempt: The patient deliberately overdosed on sleeping pills three years ago, indicating a previous suicide attempt, which is one of the strongest predictors of future suicide risk. \\n3. Evaluate other factors: \\n   - History of psychosis (Option B"
